N,P,K,pH,Moisture,Fertility
112.82,46.26,28.9,8.07,37.24,Medium
25.8,16.19,14.53,6.9,5.0,Medium
55.98,94.44,28.69,6.49,65.26,High
106.88,55.65,17.21,6.64,63.31,High
48.14,80.15,57.57,5.38,73.91,Medium
67.24,23.95,69.82,6.22,66.85,High
64.26,46.9,27.21,8.25,95.0,Medium
34.49,6.11,45.83,6.87,32.13,Medium
34.16,8.07,86.3,6.03,43.32,Medium
96.39,15.02,5.86,5.6,22.64,Medium
51.63,64.37,46.07,5.14,38.29,Medium
64.53,34.18,4.09,6.63,15.35,Medium
38.5,21.82,10.4,5.26,39.64,Low
98.92,0.0,40.1,7.67,30.3,Medium
18.49,29.19,24.27,6.74,45.43,Medium
73.49,30.76,73.1,6.23,52.76,High
69.44,16.53,39.9,6.26,17.28,Medium
90.58,19.38,38.16,5.25,52.82,Medium
30.91,73.24,25.26,5.76,21.61,Medium
27.4,56.67,55.13,5.73,23.32,Medium
67.53,38.93,30.62,5.28,16.99,Medium
83.75,43.76,36.2,5.38,65.75,Medium
52.93,0.0,89.97,6.36,90.44,Medium
0.0,90.72,18.45,5.5,35.04,Medium
18.48,36.27,0.0,6.4,49.51,Medium
9.91,73.43,41.19,6.09,48.25,High
33.23,12.34,38.2,7.6,63.51,Medium
26.69,21.17,54.12,4.97,59.76,Medium
77.18,40.94,58.75,5.53,69.11,High
111.41,22.57,60.48,6.03,52.22,High
102.19,24.02,51.64,4.17,61.85,Medium
36.55,31.99,68.33,7.45,49.02,Medium
34.24,41.74,35.16,6.39,57.64,Medium
76.3,34.36,35.52,5.5,67.36,Medium
47.4,5.05,35.92,5.76,41.71,Medium
108.34,35.27,32.65,5.33,52.56,Medium
93.48,30.83,50.53,5.75,40.65,High
0.0,14.53,59.2,6.41,77.59,Medium
107.99,48.8,13.69,6.62,41.27,High
78.17,9.07,42.98,5.22,92.82,Medium
74.23,52.98,20.48,6.41,36.47,Medium
